Input,Llama2ExLlama,Llama2ExLlama score,Llama2ExLlama yn score
"Cetoddle, Scrafty","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| Doublade | Steel | 60 | 90 | 70 | 60 | 80 | 30 | - | A powerful, sword-wielding Pokémon with immense strength. Its blade can cut through almost anything, including steel itself. |",0.6266152858734131,0.1478652507066726
Yamper,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Yamper | Grass | 60 | 120 | 90 | 40 | 50 | 70 | - | A small, rodent-like Pokémon with a fluffy tail. It is known for its high speed and agility. |",0.5959996581077576,0.3559996783733368
Vileplume,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Vileplume | Grass | 60 | 120 | 95 | 85 | 70 | 40 | Sceptile | A delicate and elegant Pokémon with large leaves that can be used to defend itself. Its beauty is said to have the power to heal wounds. |",0.6800522804260254,0.1500522941350937
"Taillow, Marshadow, Lunala, Eternatus","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Taillow | Normal | 60 | 120 | 85 | 90 | 70 | 40 | - | A bird-like Pokémon known for its impressive tail feathers. It can use its wings to fly and its tail to attack enemies. |
| Marshadow | Ghost | 70 | 130 | 90 | 80 | 60 | 40 | - | A shadowy Pokémon that is said to have the power to control darkness. Its attacks are weakened by light-based moves. |
| Lunala | Psychic | 80 | 140 | 100 | 90 | 70 | 50 | - | A lunar Pokémon with immense psychic powers. It can create powerful illusions and teleport short distances. |
| Eternatus | Rock | 90 | 150 | 110 | 90 | 80 | 60 | - | A massive rock-type Pokémon with incredible strength. It can crush rocks with ease and has a strong sense of justice. |",0.6292319893836975,0.1519819796085357
"Goldeen, Trapinch","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Goldeen | Water | 60 | 85 | 70 | 120 | 90 | 40 | - | A water-type Pokémon that can create massive waves and whirlpools. Its strongest move is Hydro Pump. |
| Trapinch | Ground / Steel | 65 | 90 | 75 | 130 | 100 | 50 | - | An underground Pokémon that excels in digging tunnels. It has a high defense stat due to its hard shell. |",0.6045090556144714,0.1450090855360031
"Greavard, Kangaskhan, Skarmory, Tranquill","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Greavard | Ground | 60 | 120 | 85 | 90 | 70 | 40 | - | A large, slow-moving Pokémon with powerful legs. It can create massive earthquakes by stomping on the ground. |
| Kangaskhan | Fighting | 70 | 130 | 90 | 100 | 80 | 50 | - | A legendary Pokémon said to have been created by the gods themselves. Its incredible strength is unmatched among all other Pokémon. |
| Skarmory | Steel | 80 | 100 | 120 | 90 | 80 | 60 | - | A majestic Pokémon with gleaming armor that protects its body from attacks. Its movements are as swift and graceful as a knight's. |
| Tranquill | Water | 60 | 90 | 100 | 80 | 70 | 50 | - | A gentle Pokémon with a serene nature. It has the ability to heal itself and others using its water powers. |",0.6447929739952087,0.1337929517030716
"Mankey, Suicune, Deino, Toedscruel","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Mankey | Grass | 60 | 120 | 85 | 95 | 70 | 40 | - | A powerful and agile Pokémon. It can use its vines to bind and trip opponents. |
| Suicune | Water | 70 | 130 | 90 | 100 | 80 | 50 | - | A swift and graceful Pokémon that can control water. Its speed is unmatched in the sea. |
| Deino | Rock | 60 | 100 | 70 | 80 | 60 | 40 | - | A large and powerful Pokémon that can create massive earthquakes. It has a strong sense of smell. |
| Tauros | Normal | 70 | 120 | 90 | 100 | 80 | 60 | - | A muscular and fierce Pokémon with incredible strength. It loves to charge at high speeds. |",0.6701967716217041,0.1389467716217041
Appletun,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Appletun | Grass | 60 | 120 | 95 | 70 | 85 | 40 | - | A small, rodent-like Pokémon with large ears and a long tail. It can use its powerful sense of smell to track down its opponents. |",0.742383599281311,0.2373835891485214
"Fletchinder, Fearow, Scorbunny, Probopass","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Fletchinder | Fire | 60 | 120 | 90 | 85 | 70 | 40 | - | A small bird-like Pokémon with a flamboyant crest on its head. It can create intense heat by flapping its wings and is known for its fierce battles. |
| Fearow | Normal | 60 | 130 | 100 | 90 | 80 | 50 | - | A large bird of prey that soars through the skies with ease. Its sharp eyesight allows it to spot its opponents from far away. |
| Scorbunny | Fire | 50 | 90 | 80 | 70 | 60 | 40 | - | A bouncy rodent Pokémon with a fluffy tail. It has a strong sense of smell and can detect hidden objects using its whiskers. |
| Probopass | Rock | 60 | 100 | 80 | 70 | 60 | 40 | - | A Pokémon made entirely of rock, with no visible joints or muscles. It can crush rocks into tiny pieces with its incredible strength. |",0.6797521114349365,0.1412521004676818
Ledian,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Ledian | Grass | 60 | 120 | 90 | 45 | 70 | 85 | - | A grass-type Pokémon that can grow vines to restrain its opponents. Its vines also have healing properties. |",0.654131293296814,0.3341313004493713
Klefki,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Klefki | Normal | 60 | 120 | 95 | 70 | 85 | 40 | - | A small, rodent-like Pokémon. It has the ability to absorb and store energy from its surroundings, which it can then use for various purposes. |",0.7383917570114136,0.2323917895555496
"Dodrio, Swellow","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Dodrio | Normal | 60 | 120 | 95 | 70 | 85 | 45 | - | A water-type Pokémon that can create powerful waves and shockwaves. Its speed is mediocre but it has high attack power. It evolves from Squirtle at level 36. |
| Swellow | Flying | 65 | 130 | 100 | 80 | 90 | 50 | - | A flying-type Pokémon known for its graceful movements and strong wings. It has above-average defense and special attack moves. It evolves from Pidgey at level 36. |",0.7145665884017944,0.2370665967464447
Grovyle,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Grovyle | Grass | 60 | 120 | 95 | 40 | 70 | 85 | - | A grass-type Pokémon that can grow vines to restrain its opponents. Its vines also have healing properties. |",0.6718870401382446,0.246887058019638
"Drifblim, Sylveon, Centiskorch","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Drifblim | Water | 60 | 120 | 90 | 85 | 70 | 40 | - | A gentle and serene Pokémon that can create powerful whirlpools to trap its opponents. |
| Sylveon | Fairy | 70 | 130 | 95 | 80 | 70 | 45 | - | A beautiful and graceful Pokémon with the power to control time itself. |
| Centiskorch | Fire | 80 | 140 | 100 | 90 | 80 | 50 | - | A fierce and intimidating Pokémon with the ability to generate intense heat from its body. |",0.7121086716651917,0.2511086463928222
Archeops,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Archeops | Normal | 60 | 120 | 95 | 70 | 85 | 100 | Fossil | A large bird of prey from the distant past. Its sharp beak and powerful wings make it a formidable opponent in battle. |",0.6052294969558716,0.1422294825315475
Drampa,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Drampa | Grass | 65 | 120 | 90 | 70 | 80 | 40 | - | A grass-type Pokémon that can grow vines to restrain its opponents. Its vines also have the ability to absorb and neutralize attacks from other Pokémon. |",0.6805384755134583,0.238538458943367
"Butterfree, Bouffalant, Flaaffy","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Butterfree | Bug | 60 | 120 | 85 | 95 | 70 | 105 | - | A butterfly-like Pokémon that can fly at high speeds and create powerful gusts of wind. It is known for its graceful movements and ability to heal itself using the power of sunlight. |
| Bouffalant | Ground | 70 | 130 | 90 | 100 | 80 | 110 | - | A large, bull-like Pokémon with incredible strength. Its body is covered in thick fur, which helps it to withstand attacks from opponents. Despite its size, it is surprisingly agile and quick on its feet. |
| Flaaffy | Fire | 45 | 90 | 105 | 75 | 85 | 115 | - | A small, rodent-like Pokémon with a fierce temperament. It has sharp teeth and claws, allowing it to deal massive damage to its opponents. It is also able to generate intense heat from its body, which can be used to attack its foes or provide warmth to its allies. |",0.646226167678833,0.1462261378765106
"Tepig, Lopunny","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Tepig | Fire | 45 | 60 | 30 | 40 | 20 | 70 | Pignite (level up) | A small, rodent-like Pokémon with a red and white body. It has two large ears that can hear the slightest sound from far away. |
| Lopunny | Normal | 45 | 60 | 30 | 40 | 20 | 70 | Pichu (level up) | A cute, rabbit-like Pokémon with long ears and a fluffy tail. Its movements are very quick and agile. |",0.689112663269043,0.2431126236915588
Incineroar,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Incineroar | Fire / Flying | 65 | 120 | 90 | 80 | 70 | 100 | - | A large, lion-like Pokémon with fluffy fur and a fierce expression. It can create massive explosions from its body to attack its opponents. Its evolved form is Incineroad. |",0.8077670335769653,0.4694336950778961
"Escavalier, Feebas, Celesteela","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Escavalier | Water | 65 | 120 | 90 | 70 | 40 | 85 | - | A water-type Pokémon that can create massive waves to wash away its opponents. Its shell is very hard and protects it from attacks. |
| Feebas | Water | 60 | 90 | 60 | 50 | 30 | 70 | - | A small fish-like Pokémon that has the ability to transform into other Pokémon. It can also use its tail as a weapon to attack its enemies. |
| Celesteela | Steel | 70 | 120 | 80 | 60 | 40 | 90 | - | A large steel-type Pokémon with incredible strength. Its body is covered in metal plates that provide excellent protection against attacks. |",0.6560172438621521,0.143017292022705
Riolu,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Riolu | Normal | 60 | 120 | 95 | 70 | 85 | 40 | - | A small, rodent-like Pokémon with large ears and sharp claws. It is known for its incredible speed and agility. |",0.5191811919212341,0.1441811770200729
"Araquanid, Magby","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Araquanid | Water | 65 | 120 | 90 | 70 | 85 | 40 | Aquatic Jet | A aquatic Pokémon that can create powerful waves to attack its opponents. |
| Magby | Fire | 60 | 90 | 70 | 60 | 75 | 30 | Ember | A small, fiery Pokémon that can generate intense heat from its body. |",0.6965336799621582,0.1565337181091308
"Tangela, Feraligatr, Garchomp, Sentret","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Tangela | Grass | 60 | 120 | 85 | 95 | 70 | 40 | Evolves into Gardevoir at level 30 | A humanoid Pokémon with long, slender limbs and large ears. It has the ability to control plants and can use its vines to ensnare opponents. |
| Feraligatr | Water | 70 | 130 | 90 | 100 | 80 | 50 | Evolves from Golbat at level 20 | A powerful water-type Pokémon with sharp fangs and claws. Its body is covered in shimmering scales that reflect light. |
| Garchomp | Rock | 80 | 140 | 100 | 120 | 90 | 60 | Evolves from Slaking at level 30 | A massive rock-type Pokémon with incredible strength. Its arms are thick and muscular, allowing it to crush rocks with ease. |
| Sentret | Bug | 65 | 90 | 70 | 80 | 60 | 50 | - | A small insect-like Pokémon with a round body and six thin legs. It can shoot threads of silk to trap opponents. |",0.6453049778938293,0.142054945230484
"Glimmora, Cursola, Wattrel, Stantler","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Glimmora | Fire | 60 | 120 | 90 | 85 | 70 | 40 | - | A ferocious and powerful Pokémon that can generate intense heat. Its fiery mane is said to be able to melt steel. |
| Cursola | Water | 70 | 130 | 100 | 90 | 80 | 50 | - | A legendary sea serpent that has the power to control the oceans. It can create massive waves and whirlpools by flapping its fins. |
